Location,Latitude,Longitude
"Raleigh, NC",35.7803977,-78.6390989
"Pleasant Prairie, WI",42.5269718,-87.8544568
"Milwaukee, WI",43.0349931,-87.922497
"Kalamazoo, MI",42.291707,-85.5872286
"Olathe, KS",38.8838856,-94.81887
"Hampton, VA",37.0300969,-76.3452057
"Moline, IL",41.5067003,-90.5151342
"Omaha, NE",41.2587459,-95.9383758
"Cincinnati, OH",39.1014537,-84.5124602
"Houston, TX",29.7589382,-95.3676974
"Waltham, MA",42.3756401,-71.2358004
"Peachtree City, GA",33.3967829,-84.5957629
"Niagara Falls, NY",43.08436,-79.0614686
"Indianapolis, IN",-3.9888701,-79.1965103
"Fort Wayne, IN",42.2977994,-83.09864240939409
"San Bernardino, CA",34.8253019,-116.0833144
"Arlington, VA",32.701938999999996,-97.10562379033699
"Schaumburg, IL",42.0333608,-88.083406
"Harrisburg, PA",40.2663107,-76.8861122
"Naples, FL",26.1421976,-81.7942944
"Chicago, IL",41.8755616,-87.6244212
"West Palm Beach, FL",26.715364,-80.0532942
"Lincoln, NE",40.8088861,-96.7077751
"New York, NY",40.7127281,-74.0060152
"Racine, WI",42.7260523,-87.7825242
"Rosemont, IL",41.9941334,-87.8756737
"King of Prussia, PA",40.09476245,-75.3851333563417
"Atlanta, GA",33.7489924,-84.3902644
"Monrovia, CA",34.1483499,-118.0014517
"Fulton, MD",39.1509408,-76.9230307
"Somerset, NJ",40.5012385,-74.48547748517902
"Chaska, MN",44.7894072,-93.6021791
"Edina, MN",44.8897027,-93.3501222
"Newnan, GA",33.3806716,-84.7996573
"Newport News, VA",36.9775016,-76.42977
"Phoenix, AZ",33.4484367,-112.0741417
"Colorado Springs, CO",38.8339578,-104.8253485
"Decatur, AL",34.6240205,-87.05791872812708
"South Jordan, UT",40.5621704,-111.929658
"South Easton, MA",42.0473222,-71.0814358
"San Juan, PR",-25.4206759,-49.2687428522959
"Washington, DC",38.8949924,-77.0365581
United States,39.7837304,-100.4458825
"Irving, TX",32.8295183,-96.9442177
"Charlotte, NC",35.2272086,-80.8430827
"Southaven, MS",34.9889818,-90.0125913
"Utica, NY",43.1009031,-75.2326641
"Catonsville, MD",39.26099215,-76.74554333316948
"Myrtle Point, OR",43.0635936,-124.1392815
"Portsmouth, VA",50.8036831,-1.075614
"Long Beach, CA",33.7690164,-118.191604
"Fremont, CA",37.5482697,-121.9885719
"Redwood City, CA",37.4863239,-122.232523
"Alpharetta, GA",34.0709576,-84.2747329
"Saint Louis, MO",38.6529545,-90.24111656024635
"San Diego, CA",32.7174202,-117.1627728
"Baltimore, MD",39.2908816,-76.610759
"Providence, RI",41.8239891,-71.4128343
"Hartford, CT",41.7655582,-72.69061276146614
"Hershey, PA",40.2854881,-76.6506001
"Los Angeles, CA",34.0536909,-118.242766
"Toledo, OH",41.6529143,-83.5378173
"Ankeny, IA",41.7318715,-93.6003837
"Mentor, OH",41.6661573,-81.339552
"Opa-locka, FL",25.9023168,-80.2503271
"Gladstone, OR",45.3803261,-122.5945507
"Spartanburg, SC",34.9498007,-81.9320157
"Gloucester, MA",42.6159286,-70.6619888
"Tempe, AZ",33.4255056,-111.9400091
"Savannah, GA",32.0809263,-81.0911768
"Bensalem, PA",40.10276155,-74.9321395088034
"Denver, CO",5.3428475,-72.3959849
"Huntingdon Valley, PA",40.1226101,-75.0635049
"Tarpon Springs, FL",28.148082950000003,-82.74380159717906
"Cherry Hill, NJ",39.9348351,-75.0307264
"Carson, CA",33.8322043,-118.2517547
"Riverwoods, IL",42.1676068,-87.8970986
Remote,43.0059455,-123.8925908
"Seattle, WA",47.6038321,-122.3300624
"Portsmouth, NH",43.0702223,-70.7548621
"Kent, OH",41.1536674,-81.357886
"Greenwich, CT",41.0264862,-73.6284598
"Newburyport, MA",42.8125913,-70.8772751
"Durham, NC",35.996653,-78.9018053
"Santa Ana, CA",33.7494951,-117.8732213
"Waco, TX",31.549333,-97.1466695
"Wilmington, DE",39.7459468,-75.546589
"Irvine, CA",33.6856969,-117.8259819
"Philadelphia, PA",39.9527237,-75.1635262
"Camden, NJ",39.9448402,-75.1198911
"New Brunswick, NJ",40.4862174,-74.4518173
"Wilton, CT",41.1953739,-73.4378988
"Boise, ID",43.6166163,-116.200886
"Gainesville, FL",29.6519684,-82.3249846
"Boston, MA",42.3602534,-71.0582912
"McLean, VA",40.4631789,-88.8196613
"Arlington Heights, IL",42.0811563,-87.9802164
"Tustin, CA",33.7458511,-117.826166
"Minneapolis, MN",44.9772995,-93.2654692
"Livingston, NJ",40.7959335,-74.3148713
"Niles, IL",42.0289319,-87.8122348
"Louisville, KY",38.2542376,-85.759407
"Butler, PA",40.8610205,-79.8952251
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Evansville, IN",41.947236,-73.841185
"Menlo Park, CA",37.4519671,-122.1779927
"Fredericksburg, VA",38.3031837,-77.4605399
"Fresno, CA",36.7295295,-119.70886126075588
"Saratoga Springs, NY",43.0821793,-73.7853915
"Springfield, MA",42.1018764,-72.5886727
"Oakbrook Terrace, IL",41.8500302,-87.9645077
"Chesterfield, MO",38.661953,-90.5643258
"Tampa, FL",27.9477595,-82.458444
"Aloma, FL",28.6008331,-81.3064567
"Austin, TX",30.2711286,-97.7436995
"Miami, FL",25.7741728,-80.19362
"Ridgefield Park, NJ",40.8570442,-74.0215285
"Birmingham, AL",52.4796992,-1.9026911
"San Francisco, CA",37.7790262,-122.4199061
"Mountain View, CA",37.3893889,-122.0832101
"Queens Village, NY",40.7267692,-73.7415208
"Crystal City, VA",28.6834097,-99.8274585
"Corona, CA",33.8752945,-117.5664449
"Cambridge, MA",42.3750997,-71.1056157
"Center Valley, PA",40.529266,-75.393236
Texas,31.8160381,-99.5120986
"Wayne, NJ",40.9491723,-74.2376802
"Springfield, IL",39.7990175,-89.6439575
"Los Alamitos, CA",33.8038865,-118.0772433
"Estero, FL",26.4381474,-81.8067537
"Billerica, MA",42.5584264,-71.268947
"Dallas, TX",32.7762719,-96.7968559
"Vancouver, WA",45.6306954,-122.6744557
"Jacksonville, FL",30.3321838,-81.655651
"San Antonio, TX",29.4246002,-98.4951405
"Quantico, VA",38.5228755,-77.29018630447861
"Redmond, WA",47.6694141,-122.1238767
"Vernon Hills, IL",42.2204892,-87.9803604
"Des Moines, IA",41.5910323,-93.6046655
"Cleveland, OH",41.5051613,-81.6934446
"Sunnyvale, CA",37.3688301,-122.0363496
"Augusta, GA",33.4709714,-81.9748429
"Cary, NC",35.7882893,-78.7812081
"Lewisville, TX",33.046233,-96.994174
"Santa Fe, NM",35.6876096,-105.9384569
New York State,43.1561681,-75.8449946
"Orlando, FL",28.5421109,-81.3790304
"The Woodlands, TX",30.1734194,-95.504686
"Provo, UT",40.2338438,-111.6585337
"Whitehouse Station, NJ",40.61538,-74.7704409
"Batavia, IL",-6.1753942,106.827183
"Marina del Rey, CA",33.9776848,-118.4486479
"Fort Belvoir, VA",38.72821225,-77.15098291295884
California,36.7014631,-118.755997
"Saint Paul, MN",44.9504037,-93.1015026
"Newark, NJ",40.735657,-74.1723667
"Concord, CA",37.9768525,-122.0335624
"Needham, MA",31.9868295,-88.33308822099423
"Wellesley, MA",42.2964859,-71.2925571
"Bridgewater, NJ",40.5598127,-74.5517146
"Bethesda, MD",38.9819845,-77.12423413116392
"Hicksville, NY",40.7684331,-73.5251253
"Suffolk, VA",52.241001350000005,1.0466830312565236
"Carlsbad, CA",33.1580933,-117.3505966
"Detroit, MI",42.3315509,-83.0466403
"Portland, OR",45.5202471,-122.6741949
"Fishers, IN",50.5880226,-1.2438404
"Brooklyn, NY",40.6501038,-73.9495823
"Lafayette, LA",30.2240897,-92.0198427
"San Leandro, CA",37.7249296,-122.1560768
"Ashburn, VA",39.030019100000004,-77.46964646557657
"Beeville, TX",28.4008319,-97.7483312
"Framingham, MA",42.3095704,-71.4413097
"Weston, WI",44.640009,-90.61875601910816
"Sanford, FL",28.8117297,-81.2680345
"Bellevue, WA",47.6144219,-122.1923372
"Columbus, OH",39.9622601,-83.0007065
"Clarksburg, WV",39.2806451,-80.3445341
"Sherman Oaks, CA",34.1508718,-118.4489865
"Santa Clara, CA",37.2333253,-121.6846349
"White Plains, NY",41.0339862,-73.7629097
"Vienna, VA",48.2083537,16.3725042
"Swedesboro, NJ",39.7476136,-75.3104654
"Dearborn, MI",42.3222599,-83.1763145
"Peterborough, NH",42.8776166,-71.949383
